Timestamp,Filetype,City,District,KPIType,KPI Name,Result
25.10.2020 12:8,requests,Essen,Margarethenhöhe,KPI 5,Count unfurnished,15
25.10.2020 12:8,requests,Essen,Werden,KPI 1,Average price,368.3333333333333
25.10.2020 12:8,requests,Essen,Werden,KPI 2,Average size,13.75
25.10.2020 12:8,requests,Essen,Werden,KPI 3,Average €/qm,28.680147058823533
25.10.2020 12:8,requests,Essen,Werden,KPI 4,Count furnished,7
25.10.2020 12:8,requests,Essen,Werden,KPI 5,Count unfurnished,15
25.10.2020 12:8,requests,Essen,Südviertel,KPI 1,Average price,350.0
25.10.2020 12:8,requests,Essen,Südviertel,KPI 2,Average size,25.0
25.10.2020 12:8,requests,Essen,Südviertel,KPI 3,Average €/qm,14.0
25.10.2020 12:8,requests,Essen,Südviertel,KPI 4,Count furnished,1
25.10.2020 12:8,requests,Essen,Südviertel,KPI 5,Count unfurnished,0
25.10.2020 12:8,requests,Essen,Freisenbruch,KPI 1,Average price,361.75
25.10.2020 12:8,requests,Essen,Freisenbruch,KPI 2,Average size,13.454545454545455
25.10.2020 12:8,requests,Essen,Freisenbruch,KPI 3,Average €/qm,28.61363636363637
25.10.2020 12:8,requests,Essen,Freisenbruch,KPI 4,Count furnished,6
25.10.2020 12:8,requests,Essen,Freisenbruch,KPI 5,Count unfurnished,15
25.10.2020 12:8,requests,Essen,Altendorf,KPI 1,Average price,361.75
25.10.2020 12:8,requests,Essen,Altendorf,KPI 2,Average size,13.454545454545455
25.10.2020 12:8,requests,Essen,Altendorf,KPI 3,Average €/qm,28.61363636363637
25.10.2020 12:8,requests,Essen,Altendorf,KPI 4,Count furnished,6
25.10.2020 12:8,requests,Essen,Altendorf,KPI 5,Count unfurnished,15
25.10.2020 12:8,requests,Essen,Katernberg,KPI 1,Average price,361.75
25.10.2020 12:8,requests,Essen,Katernberg,KPI 2,Average size,13.454545454545455
25.10.2020 12:8,requests,Essen,Katernberg,KPI 3,Average €/qm,28.61363636363637
25.10.2020 12:8,requests,Essen,Katernberg,KPI 4,Count furnished,6
25.10.2020 12:8,requests,Essen,Katernberg,KPI 5,Count unfurnished,15
25.10.2020 12:8,requests,Wuppertal,Barmen,KPI 1,Average price,356.875
25.10.2020 12:8,requests,Wuppertal,Barmen,KPI 2,Average size,15.0
25.10.2020 12:8,requests,Wuppertal,Barmen,KPI 3,Average €/qm,29.35185185185185
25.10.2020 12:8,requests,Wuppertal,Barmen,KPI 4,Count furnished,4
25.10.2020 12:8,requests,Wuppertal,Barmen,KPI 5,Count unfurnished,4
